1,10006,北海道,
2,11002,北海道,札幌市
3,12025,北海道,函館市
4,12033,北海道,小樽市
5,12041,北海道,旭川市
6,12050,北海道,室蘭市
7,12068,北海道,釧路市
8,12076,北海道,帯広市
9,12084,北海道,北見市
10,12092,北海道,夕張市
11,12106,北海道,岩見沢市
12,12114,北海道,網走市
13,12122,北海道,留萌市
14,12131,北海道,苫小牧市
15,12149,北海道,稚内市
16,12157,北海道,美唄市
17,12165,北海道,芦別市
18,12173,北海道,江別市
19,12181,北海道,赤平市
20,12190,北海道,紋別市
21,12203,北海道,士別市
22,12211,北海道,名寄市
23,12220,北海道,三笠市
24,12238,北海道,根室市
25,12246,北海道,千歳市
26,12254,北海道,滝川市
27,12262,北海道,砂川市
28,12271,北海道,歌志内市
29,12289,北海道,深川市
30,12297,北海道,富良野市
31,12301,北海道,登別市
32,12319,北海道,恵庭市
33,12335,北海道,伊達市
34,12343,北海道,北広島市
35,12351,北海道,石狩市
36,12360,北海道,北斗市
37,13030,北海道,当別町
38,13048,北海道,新篠津村
39,13315,北海道,松前町
40,13323,北海道,福島町
41,13331,北海道,知内町
42,13340,北海道,木古内町
43,13374,北海道,七飯町
44,13439,北海道,鹿部町
45,13455,北海道,森町
46,13463,北海道,八雲町
47,13471,北海道,長万部町
48,13617,北海道,江差町
49,13625,北海道,上ノ国町
50,13633,北海道,厚沢部町
51,13641,北海道,乙部町
52,13676,北海道,奥尻町
53,13706,北海道,今金町
54,13714,北海道,せたな町
55,13919,北海道,島牧村
56,13927,北海道,寿都町
57,13935,北海道,黒松内町
58,13943,北海道,蘭越町
59,13951,北海道,ニセコ町
60,13960,北海道,真狩村
61,13978,北海道,留寿都村
62,13986,北海道,喜茂別町
63,13994,北海道,京極町
64,14001,北海道,倶知安町
65,14010,北海道,共和町
66,14028,北海道,岩内町
67,14036,北海道,泊村
68,14044,北海道,神恵内村
69,14052,北海道,積丹町
70,14061,北海道,古平町
71,14079,北海道,仁木町
72,14087,北海道,余市町
73,14095,北海道,赤井川村
74,14231,北海道,南幌町
75,14249,北海道,奈井江町
76,14257,北海道,上砂川町
77,14273,北海道,由仁町
78,14281,北海道,長沼町
79,14290,北海道,栗山町
80,14303,北海道,月形町
81,14311,北海道,浦臼町
82,14320,北海道,新十津川町
83,14338,北海道,妹背牛町
84,14346,北海道,秩父別町
85,14362,北海道,雨竜町
86,14371,北海道,北竜町
87,14389,北海道,沼田町
88,14524,北海道,鷹栖町
89,14532,北海道,東神楽町
90,14541,北海道,当麻町
91,14559,北海道,比布町
92,14567,北海道,愛別町
93,14575,北海道,上川町
94,14583,北海道,東川町
95,14591,北海道,美瑛町
96,14605,北海道,上富良野町
97,14613,北海道,中富良野町
98,14621,北海道,南富良野町
99,14630,北海道,占冠村
100,14648,北海道,和寒町
101,14656,北海道,剣淵町
102,14681,北海道,下川町
103,14699,北海道,美深町
104,14702,北海道,音威子府村
105,14711,北海道,中川町
106,14729,北海道,幌加内町
107,14818,北海道,増毛町
108,14826,北海道,小平町
109,14834,北海道,苫前町
110,14842,北海道,羽幌町
111,14851,北海道,初山別村
112,14869,北海道,遠別町
113,14877,北海道,天塩町
114,15113,北海道,猿払村
115,15121,北海道,浜頓別町
116,15130,北海道,中頓別町
117,15148,北海道,枝幸町
118,15164,北海道,豊富町
119,15172,北海道,礼文町
120,15181,北海道,利尻町
121,15199,北海道,利尻富士町
